,image_name,label
0,0__2672632_21015_0_0.png,1
1,1__1146137_21015_1_0.png,1
2,2__4441680_21015_0_0.png,2
3,3__2971686_21015_0_0.png,4
4,4__2148357_21015_0_0.png,0
5,5__4749139_21015_0_0.png,0
6,6__2618187_21015_0_0.png,1
7,7__2681944_21015_1_0.png,1
8,8__3129318_21015_0_0.png,3
9,9__5318065_21015_0_0.png,2
10,10__1626611_21015_1_0.png,1
11,11__1192590_21015_0_0.png,1
12,12__2429241_21015_0_0.png,2
13,13__5629594_21015_0_0.png,3
14,14__1526862_21015_0_0.png,1
15,15__2434908_21015_1_0.png,0
16,16__5957730_21015_1_0.png,1
17,17__4979561_21015_0_0.png,1
18,18__2349128_21015_0_0.png,1
19,19__3523185_21015_0_0.png,2
20,20__2544512_21015_0_0.png,3
21,21__2454380_21015_0_0.png,1
22,22__3804477_21015_1_0.png,4
23,23__5468863_21015_0_0.png,3
24,24__3712662_21015_0_0.png,1
25,25__1896461_21015_0_0.png,0
26,26__3979850_21015_1_0.png,1
27,27__5666440_21015_0_0.png,1
28,28__4257317_21015_0_0.png,3
29,29__5827071_21015_0_0.png,2
30,30__1749502_21015_0_0.png,0
31,31__3826098_21015_1_0.png,1
32,32__3605831_21015_0_0.png,1
33,33__1338653_21015_1_0.png,3
34,34__3083262_21015_0_0.png,1
35,35__1114283_21015_1_0.png,0
36,36__1708538_21015_1_0.png,1
37,37__4351092_21015_1_0.png,4
38,38__1677604_21015_0_0.png,3
39,39__4097641_21015_0_0.png,0
40,40__4087180_21015_0_0.png,1
41,41__3253160_21015_0_0.png,1
42,42__5238939_21015_0_0.png,4
43,43__4768268_21015_0_0.png,1
44,44__2814835_21015_1_0.png,4
45,45__2151805_21015_0_0.png,0
46,46__4474165_21015_1_0.png,1
47,47__5050250_21015_0_0.png,3
48,48__4334840_21015_1_0.png,3
49,49__3150606_21015_1_0.png,4
50,50__5071570_21015_0_0.png,4
51,51__3160877_21015_0_0.png,1
52,52__1716229_21015_0_0.png,1
53,53__1181226_21015_0_0.png,3
54,54__3790911_21015_1_0.png,1
55,55__4322542_21015_0_0.png,1
56,56__3147375_21015_0_0.png,2
57,57__1141555_21015_1_0.png,0
58,58__4020911_21015_0_0.png,0
59,59__5915495_21015_0_0.png,0
60,60__1801871_21015_1_0.png,0
61,61__3052259_21015_1_0.png,1
62,62__1447235_21015_0_0.png,4
63,63__2579019_21015_0_0.png,0
64,64__2450076_21015_0_0.png,1
65,65__1873258_21015_1_0.png,2
66,66__3702501_21015_0_0.png,1
67,67__2106979_21015_1_0.png,1
68,68__3007143_21015_0_0.png,3
69,69__1208515_21015_0_0.png,2
70,70__2630206_21015_0_0.png,0
71,71__2827304_21015_1_0.png,1
72,72__1725453_21015_0_0.png,1
73,73__1872243_21015_1_0.png,1
74,74__5303968_21015_1_0.png,2
75,75__3749523_21015_0_0.png,0
76,76__2118811_21015_1_0.png,1
77,77__2136750_21015_0_0.png,3
78,78__2248570_21015_0_0.png,3
79,79__5842419_21015_1_0.png,4
80,80__2486408_21015_0_0.png,1
81,81__5148901_21015_0_0.png,1
82,82__5705009_21015_0_0.png,0
83,83__4443305_21015_0_0.png,3
84,84__3341768_21015_0_0.png,2
85,85__4037757_21015_1_0.png,4
86,86__4965816_21015_0_0.png,0
87,87__3422844_21015_0_0.png,2
88,88__2728289_21015_0_0.png,1
89,89__1291889_21015_1_0.png,2
